Rxn name	Formula	Gene-reaction association	LB	UB	Objective
3OAR40	Acetoacetyl-ACP[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] <=> (3R)-3-Hydroxyacyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	-1000.00	1000.00	  0.00
3OAR60	3-Oxohexanoyl-[acyl-carrier protein][c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] <=> (R)-3-Hydroxyhexanoyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	-1000.00	1000.00	  0.00
3OAR80	3-Oxooctanoyl-[acyl-carrier protein][c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] <=> (R)-3-Hydroxyoctanoyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	-1000.00	1000.00	  0.00
3OAS100	H+[c] + Malonyl-[acyl-carrier protein][c] + Octanoyl-ACP (n-C8:0ACP)[c] => 3-Oxodecanoyl-[acyl-carrier protein][c] + Acyl carrier protein[c] + CO2 CO2[c] 	b2323 or b1095	  0.00	1000.00	  0.00
3OAS120	Decanoyl-ACP (n-C10:0ACP)[c] + H+[c] + Malonyl-[acyl-carrier protein][c] => 3-Oxododecanoyl-[acyl-carrier protein][c] + Acyl carrier protein[c] + CO2 CO2[c] 	b1095 or b2323	  0.00	1000.00	  0.00
3OAS121	Cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1)[c] + H+[c] + Malonyl-[acyl-carrier protein][c] => 3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein][c] + Acyl carrier protein[c] + CO2 CO2[c] 	b2323	  0.00	1000.00	  0.00
3OAS140	Dodecanoyl-ACP (n-C12:0ACP)[c] + H+[c] + Malonyl-[acyl-carrier protein][c] => 3-Oxotetradecanoyl-[acyl-carrier protein][c] + Acyl carrier protein[c] + CO2 CO2[c] 	b2323 or b1095	  0.00	1000.00	  0.00
3OAS141	Cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)[c] + H+[c] + Malonyl-[acyl-carrier protein][c] => 3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein][c] + Acyl carrier protein[c] + CO2 CO2[c] 	b2323	  0.00	1000.00	  0.00
3OAS160	H+[c] + Malonyl-[acyl-carrier protein][c] + Myristoyl-ACP (n-C14:0ACP)[c] => 3-Oxohexadecanoyl-[acyl-carrier protein][c] + Acyl carrier protein[c] + CO2 CO2[c] 	b2323 or b1095	  0.00	1000.00	  0.00
3OAS161	H+[c] + Malonyl-[acyl-carrier protein][c] + Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)[c] => 3-oxo-cis-palm-9-eoyl-[acyl-carrier protein][c] + Acyl carrier protein[c] + CO2 CO2[c] 	b2323	  0.00	1000.00	  0.00
3OAS180	H+[c] + Malonyl-[acyl-carrier protein][c] + Palmitoyl-ACP (n-C16:0ACP)[c] => 3-Oxooctadecanoyl-[acyl-carrier protein][c] + Acyl carrier protein[c] + CO2 CO2[c] 	b1095 or b2323	  0.00	1000.00	  0.00
3OAS181	H+[c] + Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)[c] + Malonyl-[acyl-carrier protein][c] => 3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein][c] + Acyl carrier protein[c] + CO2 CO2[c] 	b1095	  0.00	1000.00	  0.00
3OAS60	Butyryl-ACP (n-C4:0ACP)[c] + H+[c] + Malonyl-[acyl-carrier protein][c] => 3-Oxohexanoyl-[acyl-carrier protein][c] + Acyl carrier protein[c] + CO2 CO2[c] 	b1095 or b2323	  0.00	1000.00	  0.00
