Rxn name	Formula	Gene-reaction association	LB	UB	Objective
PGK	3-Phospho-D-glycerate[c] + ATP C10H12N5O13P3[c] <=> 3-Phospho-D-glyceroyl phosphate[c] + ADP C10H12N5O10P2[c] 	b2926	-1000.00	1000.00	  0.00
PGL	6-phospho-D-glucono-1,5-lactone[c] + H2O H2O[c] => 6-Phospho-D-gluconate[c] + H+[c] 	b0767	  0.00	1000.00	  0.00
PGM	D-Glycerate 2-phosphate[c] <=> 3-Phospho-D-glycerate[c] 	b3612 or b4395 or b0755	-1000.00	1000.00	  0.00
PIt2r	H+[e] + Phosphate[e] <=> H+[c] + Phosphate[c] 	b2987 or b3493	-1000.00	1000.00	  0.00
PPC	CO2 CO2[c] + H2O H2O[c] + Phosphoenolpyruvate[c] => H+[c] + Oxaloacetate[c] + Phosphate[c] 	b3956	  0.00	1000.00	  0.00
PPCK	ATP C10H12N5O13P3[c] + Oxaloacetate[c] => ADP C10H12N5O10P2[c] + CO2 CO2[c] + Phosphoenolpyruvate[c] 	b3403	  0.00	1000.00	  0.00
PPS	ATP C10H12N5O13P3[c] + H2O H2O[c] + Pyruvate[c] => AMP C10H12N5O7P[c] + 2 H+[c] + Phosphoenolpyruvate[c] + Phosphate[c] 	b1702	  0.00	1000.00	  0.00
PTAr	Acetyl-CoA[c] + Phosphate[c] <=> Acetyl phosphate[c] + Coenzyme A[c] 	b2297 or b2458	-1000.00	1000.00	  0.00
PYK	ADP C10H12N5O10P2[c] + H+[c] + Phosphoenolpyruvate[c] => ATP C10H12N5O13P3[c] + Pyruvate[c] 	b1854 or b1676	  0.00	1000.00	  0.00
PYRt2	H+[e] + Pyruvate[e] <=> H+[c] + Pyruvate[c] 		-1000.00	1000.00	  0.00
RPE	D-Ribulose 5-phosphate[c] <=> D-Xylulose 5-phosphate[c] 	b3386 or b4301	-1000.00	1000.00	  0.00
RPI	Alpha-D-Ribose 5-phosphate[c] <=> D-Ribulose 5-phosphate[c] 	b2914 or b4090	-1000.00	1000.00	  0.00
SUCCt2_2	2 H+[e] + Succinate[e] => 2 H+[c] + Succinate[c] 	b3528	  0.00	1000.00	  0.00
SUCCt3	H+[e] + Succinate[c] => H+[c] + Succinate[e] 		  0.00	1000.00	  0.00
SUCDi	Ubiquinone-8[c] + Succinate[c] => Fumarate[c] + Ubiquinol-8[c] 	b0721 and b0722 and b0723 and b0724	  0.00	1000.00	  0.00
SUCOAS	ATP C10H12N5O13P3[c] + Coenzyme A[c] + Succinate[c] <=> ADP C10H12N5O10P2[c] + Phosphate[c] + Succinyl-CoA[c] 	b0728 and b0729	-1000.00	1000.00	  0.00
TALA	Glyceraldehyde 3-phosphate[c] + Sedoheptulose 7-phosphate[c] <=> D-Erythrose 4-phosphate[c] + D-Fructose 6-phosphate[c] 	b2464 or b0008	-1000.00	1000.00	  0.00
THD2	2 H+[e] + Nicotinamide adenine dinucleotide - reduced[c] + Nicotinamide adenine dinucleotide phosphate[c] => 2 H+[c] + Nicotinamide adenine dinucleotide[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] 	b1602 and b1603	  0.00	1000.00	  0.00
TKT1	Alpha-D-Ribose 5-phosphate[c] + D-Xylulose 5-phosphate[c] <=> Glyceraldehyde 3-phosphate[c] + Sedoheptulose 7-phosphate[c] 	b2935 or b2465	-1000.00	1000.00	  0.00
TKT2	D-Erythrose 4-phosphate[c] + D-Xylulose 5-phosphate[c] <=> D-Fructose 6-phosphate[c] + Glyceraldehyde 3-phosphate[c] 	b2935 or b2465	-1000.00	1000.00	  0.00
TPI	Dihydroxyacetone phosphate[c] <=> Glyceraldehyde 3-phosphate[c] 	b3919	-1000.00	1000.00	  0.00
